Date,Pptn_us,PET_us,ET_us,Pptn_us_ds,PET_us_ds,ET_us_ds,Pptn_total,PET_total,ET_total,Q_us,Q_ds,ET_sim,SM_sim,GW_sim,Q_sim
2012-07-22,22.7600342295524,1.501713,1.2881,21.2817800469,1.322416,1.1613837,21.5368274986799,1.322416,1.1613837,0.095546362824418,0.355819989375325,1.322416,211.070670668372,196.239007930112,3.43323683550623
2012-07-23,11.0719429699506,3.8108501,3.2345016,8.16457982241251,3.4107902,2.9341009,8.66619555670696,3.4107902,2.9341009,0.606596908598099,0.253782753172898,3.4107902,212.569442654593,198.103075733697,3.17575942767087
2012-07-24,5.81713300877173,3.3789454,2.9003534,7.14481870383459,3.3107579,2.8623497,6.91574926945347,3.3107579,2.8623497,0.442453157079227,0.228505923326563,3.3107579,213.226943679206,199.431779795398,2.54800667196519
2012-07-25,6.3381475761262,2.033996,1.8364236,3.47444863249365,1.9430367,1.7540706,3.96853085553019,1.9430367,1.7540706,0.315547987994488,0.504691218002065,1.9430367,213.702259682307,199.84348561437,2.03110014250532
2012-07-26,20.1124856540152,1.9828093,1.7432576,20.0590891568968,1.7531536,1.5581266,20.0683018102237,1.7531536,1.5581266,0.166103676910142,0.123340785103017,1.7531536,222.772873072367,205.278229166678,2.22673354724272
2012-07-27,10.1385267249297,2.6743612,2.2148712,15.3800169572839,2.7472043,2.3244267,14.4756875599175,2.7472043,2.3244267,0.092606474737513,0.242116524013051,2.7472043,227.687338203985,209.096374616814,2.74671647987747
2012-07-28,1.55027983686256,3.2415595,2.8702915,3.12196296677336,3.2420845,2.8456905,2.85079595214942,3.2420845,2.8456905,0.057327817694651,0.158001321012707,3.2420845,226.219362294902,209.166423637062,2.41733296776303
2012-07-29,20.1171423272185,3.7141137,3.2582507,23.5599670495577,3.6020267,3.1663804,22.9659665913928,3.6020267,3.1663804,0,0.410854157368515,3.6020267,234.417420586548,215.798055684364,2.57314559800823
2012-07-30,16.7656506548797,2.4089837,2.0928981,16.3735558256434,2.1561449,1.8845059,16.441205076887,2.1561449,1.8845059,0,0.391664055779492,2.1561449,240.566213200177,220.425076534196,3.21361133554631
2012-07-31,2.1592019665109,1.8673692,1.6872414,2.00953906467546,1.6204659,1.474842,2.03536083617182,1.6204659,1.474842,0.401294723862555,0.488713556326623,1.6204659,240.283866626485,220.212410536567,2.76997018652308
2012-08-01,10.0061944561917,3.2303991,2.8114338,10.6663471937719,2.9690464,2.5659423,10.552449142568,2.9690464,2.5659423,0.22588140134388,0.6107862730427,2.9690464,242.66958330024,222.913610030167,2.29825375848517
2012-08-02,10.2504747384426,2.8179395,2.4137657,4.98158690778862,2.740134,2.3483188,5.89064329365459,2.740134,2.3483188,0.200402371257369,0.468424462135585,2.740134,243.063014726562,224.025409556377,2.19780914430911
2012-08-03,13.1551225384326,1.2157168,1.1829717,9.37850466699996,1.208238,1.1567764,10.0300954213192,1.208238,1.1567764,0.260670077038925,0.376109083566363,1.208238,246.914856457071,226.564738777342,2.12709082528465
2012-08-04,40.3723753759593,1.1544819,1.0983305,33.1731831867021,1.1455705,1.0697546,34.4152805432326,1.1455705,1.0697546,0.199912389909551,0.293092873168033,1.1455705,261.959196479785,237.653338614295,3.30112550197086
